番号,用語(漢字),用語(カタカナ),x,y,タテ/ヨコ,ヒント文,解説文
55,インターネット,インターネット,47,22,タテ,IPを用いて情報を流通させる世界にまたがるネットワーク,インターネットは、世界中の小さなネットワーク同士をつないだ巨大なネットワークです。Web、メール、SNS、動画配信などは、その上で動くサービスの一部です。「インターネット＝Web」と思いがちですが、WebはHTTPという仕組みを使う代表的なサービスであり、インターネット全体とは少し違います。IPアドレスやルータ、プロトコルとつなげて理解すると、情報が世界中へ届く仕組みが見えてきます。
6,メディアリテラシー,メディアリテラシー,30,5,タテ,メディアを適切に使いこなす能力,メディアリテラシーは、テレビ、新聞、SNS、動画、広告などから得た情報をそのまま信じるのではなく、目的や発信者、根拠を考えながら読み解く力です。情報モラルが「どう使うか」に関わるのに対し、こちらは「どう受け取り、判断するか」に重点があります。画像の切り取り方や見出しだけで印象が変わることも多いので、複数の情報源を比べる習慣が大切です。
31,メディア,メディア,38,16,ヨコ,情報を伝えたり保管・記録するもの,メディアは、情報を伝えるための手段や媒体を指します。紙の本、新聞、テレビ、Webサイト、SNS、動画、音声、USBメモリのような記録媒体まで広く含みます。情報そのものではなく、情報を運んだり保存したりする「入れ物」だと考えると分かりやすいです。メディアが変わると、伝わる速さ、保存のしやすさ、信頼性、表現の仕方も変わります。
62,データ,データ,34,23,ヨコ,情報を文字等の形で具体的に表現したものであり、情報として解釈可能なもの(注2.1),データは、文字、数値、画像、音、動画などとして表された、処理や記録ができる形の情報です。たとえば「30」という数値だけでは意味が弱いですが、「気温30℃」のように文脈が加わると情報として理解できます。情報とデータは似ていますが、データはコンピュータが扱える材料、情報は人間が意味づけして理解した内容と考えると整理しやすいです。
98,情報,ジョウホウ,36,35,タテ,ものごとに対し知り得たことで、文脈により特定の意味を持つもの(注2.1）,情報は、人が何かを判断したり行動したりするために意味を持つ内容です。同じデータでも、見る人や状況によって情報としての価値は変わります。たとえば「80」という数値も、点数、気温、速度のどれかで意味がまったく違います。データ、メディア、コミュニケーションと関係が深く、情報Ⅰ全体の土台になる重要語です。
11,ブレインストーミング,ブレインストーミング,27,7,タテ,アイデアを出すための話し合いで、なんでも思いついたことを言い批判はしないなどのルールがある,ブレインストーミングは、アイデアの量を増やすための話し合いの方法です。最初から正解を探すのではなく、変な案や未完成の案も歓迎し、他人の意見を否定しないことが大切です。後で整理や評価を行うので、発想の段階では自由さを優先します。情報デザインや問題解決の授業では、プロトタイプ作成の前に使うと効果的です。
86,情報モラル,ジョウホウモラル,4,32,ヨコ,人が情報を扱う上で求められる道徳,情報モラルは、情報社会で他人を傷つけず、自分も危険に巻き込まれないための考え方や態度です。著作権、個人情報、SNSでの発信、パスワード管理など、さまざまな内容とつながります。「法律で禁止されていなければ何をしてもよい」ではなく、相手や社会にどんな影響があるかを想像する力が重要です。
43,個人情報,コジンジョウホウ,38,18,タテ,生存するある個人に関する情報。ただし、その情報に含まれる記述等によりその個人を識別できるもの。(不完全な要約)(注2.2),個人情報は、氏名や住所のように一人の個人を識別できる情報だけでなく、他の情報と組み合わせることで個人が分かるものも含みます。写真、学籍番号、メールアドレス、位置情報、制服や背景から分かる学校名なども注意が必要です。SNSに友人の写真を載せる場面では、肖像権や情報モラルとも関係します。自分にとって普通の情報でも、他人にとっては知られたくない情報かもしれません。扱うときは、集める目的、公開範囲、保存方法を考えることが大切です。
53,個人情報の保護に関する法律,コジンジョウホウノホゴニカンスルホウリツ,17,21,ヨコ,個人情報データベース等を事業に使用している事業者が従うべき規則を定めた法律(注2.3),個人情報の保護に関する法律は、事業者などが個人情報を適切に扱うためのルールを定めた法律です。単に「漏らしてはいけない」というだけでなく、利用目的を示すこと、必要以上に集めないこと、安全に管理することなどが求められます。学校や企業の名簿、アンケート、Webサービスの登録情報にも関係します。個人情報を便利に使うほど、管理する責任も大きくなります。
19,肖像権,ショウゾウケン,11,11,ヨコ,無断で写真を撮られたり、それを無断で公表・利用されることがない権利,肖像権は、自分の顔や姿を勝手に撮影されたり、公表されたり、利用されたりしないための権利です。法律名として明確に一つだけある権利ではありませんが、人格的利益として大切に扱われます。学校行事の写真やSNS投稿では、撮った人だけでなく写っている人への配慮が必要です。著作権とは別の問題なので、写真を自分で撮った場合でも自由に公開できるとは限りません。
94,知的財産権,チテキザイサンケン,15,34,ヨコ,知的財産に関する権利,知的財産権は、人間の知的な活動から生まれた作品、発明、デザイン、ブランドなどを守る権利の総称です。著作権、特許権、商標権などが含まれます。形のある物ではなく「アイデアや表現の価値」を守る点が特徴です。ただし、すべての思いつきが保護されるわけではなく、表現や発明として一定の条件を満たす必要があります。
41,産業財産権,サンギョウザイサンケン,21,18,タテ,知的財産権のうち、特許権、実用新案権、意匠権及び商標権の４つ,産業財産権は、知的財産権のうち、産業やビジネスで使われる発明、考案、デザイン、商標を守る権利です。特許権、実用新案権、意匠権、商標権の4つが代表です。著作権と違い、多くは特許庁への出願と登録が必要になります。新しい製品を作るときは、技術だけでなく名前やデザインも財産になる点がポイントです。
66,特許権,トッキョケン,51,23,タテ,特許を受けた発明を独占的に実施することができる権利,特許権は、新しい技術的な発明を一定期間独占的に使えるようにする権利です。発明を公開する代わりに、発明者や企業が利益を得られるようにする仕組みとも言えます。単なる思いつきや発見ではなく、技術として実現できる新しさや進歩性が必要です。AIやスマートフォンのような製品にも、多数の特許が関わっていることがあります。
76,実用新案権,ジツヨウシンアンケン,8,28,ヨコ,物品の形状、構造または組み合わせに係る考案を保護するための権利,実用新案権は、物品の形や構造、組み合わせに関する工夫を保護する権利です。特許権ほど高度な発明でなくても、実用的なアイデアを守れる点が特徴です。たとえば道具の形を少し工夫して使いやすくした場合などが考えられます。プログラムそのものというより、物としての構造に関わる権利だと意識すると、特許権との違いをつかみやすくなります。
69,意匠権,イショウケン,5,25,タテ,工業デザインを守る権利,意匠権は、製品の形、模様、色彩など、見た目のデザインを守る権利です。見た目は単なる飾りと思われがちですが、商品の印象や使いやすさに大きく関わるため、産業上の価値があります。スマートフォンの外観、文房具の形、家電のデザインなども対象になり得ます。著作権が作品表現を守るのに対し、意匠権は工業製品としてのデザインを守る点がポイントです。
89,商標権,ショウヒョウケン,44,32,ヨコ,商品又はサービスについて使用する商標に対して与えられる独占排他権,商標権は、商品名、サービス名、ロゴ、マークなど、他の商品やサービスと区別するための目印を守る権利です。似た名前やロゴを勝手に使われると、消費者が本物と間違えたり、ブランドの信用が下がったりします。著作権が作品を守るのに対し、商標権は「どこの商品・サービスか」を示す信用を守ります。身近な企業ロゴを見ると理解しやすい用語です。
94,著作権,チョサクケン,15,34,タテ,思想又は感情を創作的に表現したものを著作物、それに関する権利を著作権という,著作権は、小説、音楽、絵、写真、動画、プログラムなど、創作的な表現を守る権利です。登録しなくても、作品を作った時点で原則として発生します。アイデアそのものではなく、具体的に表現されたものが対象です。授業での引用、画像利用、動画編集、生成AIの利用など、学校生活でも関わる場面が多いので、「自分が作ったか」「他人の表現をどう使うか」を意識することが大切です。
57,著作物,チョサクブツ,9,23,タテ,著作権の保護対象。思想又は感情を創作的に表現したもの,著作物は、思想や感情を創作的に表現したものです。文章、絵、音楽、写真、映像、プログラムなどが代表例です。ただの事実やアイデアだけでは著作物になりにくく、表現の工夫があるかが大切です。たとえば「富士山は高い」という事実は誰でも使えますが、その説明文や写真の構図には著作物性が生まれることがあります。著作権の保護対象を考える基本用語です。
26,著作人格権,チョサクジンカクケン,16,15,ヨコ,著作権のうち、人格的な利益を保護する権利,著作人格権は、著作者の人格的な利益を守る権利です。名前を表示するか、作品を勝手に変更されないか、いつ公表するかなどに関わります。お金を得る権利である著作財産権とは性質が違い、作者の気持ちや名誉に近い部分を守ります。たとえ画像や文章を使う許可を得たとしても、作者の意図を大きく変える改変には注意が必要です。
58,著作隣接権,チョサクリンセツケン,13,23,タテ,著作物の伝達に重要な役割を果たす実演家、レコード製作者、放送事業者等に認められた権利,著作隣接権は、著作物を人々に届ける役割を持つ人や組織を守る権利です。歌手や演奏者、レコード製作者、放送事業者などが関係します。作詞作曲をした人だけでなく、演奏した人や録音した人にも保護が必要という考え方です。音楽を使うときは、曲の著作権だけでなく、音源や演奏に関する権利も問題になることがあるため注意が必要です。
38,引用,インヨウ,46,17,タテ,正当な範囲内で著作物に他の著作物の一部を取り込むこと,引用は、他人の著作物の一部を、自分の文章や発表の中で必要な範囲だけ取り込むことです。出典を示せば何でも使えるという意味ではなく、自分の説明が主で、引用部分が従であることなどの条件があります。レポートやスライドで資料を使うときによく関係します。引用は「丸写しを正当化する言葉」ではなく、根拠を示して自分の考えを強めるための方法です。
85,可用性,カヨウセイ,51,31,ヨコ,情報セキュリティ3要素の1つで、情報が必要なときに利用できること,可用性は、必要なときに情報やシステムを利用できる状態を指します。情報セキュリティの3要素の一つで、機密性や完全性と並んで重要です。たとえばサーバが故障して成績データにアクセスできなければ、内容が漏れていなくても問題です。バックアップ、停電対策、ネットワークの安定性などは可用性を高める工夫です。安全とは「隠すこと」だけではない点がポイントです。
65,完全性,カンゼンセイ,49,23,タテ,情報セキュリティ3要素の1つで、情報が失われたり改ざんされたりしないこと,完全性は、情報が正しく保たれ、勝手に変更されたり壊れたりしていない状態を指します。情報セキュリティの3要素の一つです。テストの点数や銀行口座の残高が1文字でも変わると大問題になるように、正確さは信頼の土台です。改ざん防止、入力チェック、バックアップ、ログ記録などと関係します。情報が存在していても、正しいかどうかを確認できなければ安心して使えません。
72,機密性,キミツセイ,51,25,ヨコ,情報セキュリティ3要素の1つで、情報が権利のない人に使われないこと,機密性は、情報を見たり使ったりしてよい人だけがアクセスできる状態を指します。情報セキュリティの3要素の一つで、パスワード、アクセス権、暗号化などと関係します。個人情報や成績、企業の秘密情報は機密性が特に重要です。ただし、機密性を高めすぎると使いにくくなり、可用性とのバランスが必要になることがあります。
